시도명,시군구명,읍/면/동,어린이보호구역총계,Unnamed: 0,Unnamed: 0.1,설치유무,화재발생횟수,화재발생비율,어린이보호구역수,어린이보호구역비율
강원도,강릉시,강동면,3.0,,,,,,,
강원도,강릉시,강동면정동,2.0,,,,,,,
강원도,강릉시,강문동,1.0,,,,,,,
강원도,강릉시,교동,7.0,,,,,,,
강원도,강릉시,구정면,5.0,,,,,,,
강원도,강릉시,내곡동,2.0,,,,,,,
강원도,강릉시,노암동,2.0,,,,,,,
강원도,강릉시,두산동,1.0,,,,,,,
강원도,강릉시,사천면,3.0,,,,,,,
강원도,강릉시,성산면,3.0,,,,,,,
강원도,강릉시,송정동,2.0,,,,,,,
강원도,강릉시,안현동,2.0,,,,,,,
강원도,강릉시,연곡면,3.0,,,,,,,
강원도,강릉시,옥계면,4.0,,,,,,,
강원도,강릉시,옥천동,2.0,,,,,,,
강원도,강릉시,왕산면,2.0,,,,,,,
강원도,강릉시,유천동,1.0,,,,,,,
강원도,강릉시,입암동,4.0,,,,,,,
강원도,강릉시,장현동,2.0,,,,,,,
강원도,강릉시,주문진읍,8.0,,,,,,,
강원도,강릉시,초당동,1.0,,,,,,,
강원도,강릉시,포남동,7.0,,,,,,,
강원도,강릉시,홍제동,2.0,,,,,,,
강원도,강릉시,회산동,3.0,,,,,,,
강원도,인제군,기린면,2.0,,,,,,,
강원도,인제군,기린면방동,1.0,,,,,,,
강원도,인제군,기린면진동,1.0,,,,,,,
강원도,인제군,남면,5.0,,,,,,,
강원도,인제군,북면,6.0,,,,,,,
강원도,인제군,상남면,3.0,,,,,,,
강원도,인제군,서화면,3.0,,,,,,,
강원도,인제군,인제읍,6.0,,,,,,,
강원도,인제군,인제읍상동,4.0,,,,,,,
강원도,춘천시,교동,2.0,,,,,,,
강원도,춘천시,근화동,1.0,,,,,,,
강원도,춘천시,낙원동,1.0,,,,,,,
강원도,춘천시,남산면,6.0,,,,,,,
강원도,춘천시,동내면,6.0,,,,,,,
강원도,춘천시,동면,8.0,,,,,,,
강원도,춘천시,동산면,1.0,,,,,,,
강원도,춘천시,봉의동,1.0,,,,,,,
강원도,춘천시,북산면,2.0,,,,,,,
강원도,춘천시,사북면,4.0,,,,,,,
강원도,춘천시,서면,6.0,,,,,,,
강원도,춘천시,석사동,6.0,,,,,,,
강원도,춘천시,소양로1가,1.0,,,,,,,
강원도,춘천시,신동,3.0,,,,,,,
강원도,춘천시,신동면,3.0,,,,,,,
강원도,춘천시,신북읍,10.0,,,,,,,
강원도,춘천시,약사동,2.0,,,,,,,
강원도,춘천시,온의동,2.0,,,,,,,
강원도,춘천시,우두동,5.0,,,,,,,
강원도,춘천시,죽림동,1.0,,,,,,,
강원도,춘천시,중앙로3가,2.0,,,,,,,
강원도,춘천시,칠전동,2.0,,,,,,,
강원도,춘천시,퇴계동,9.0,,,,,,,
강원도,춘천시,효자동,6.0,,,,,,,
강원도,춘천시,후평동,11.0,,,,,,,
경기도,가평군,가평읍,6.0,,,,,,,
경기도,가평군,북면,2.0,,,,,,,
경기도,가평군,상면,3.0,,,,,,,
경기도,가평군,설악면,4.0,,,,,,,
경기도,가평군,조종면,1.0,,,,,,,
경기도,가평군,청평면,4.0,,,,,,,
부산광역시,서구,남부민동,5.0,,,,,,,
부산광역시,서구,동대신동1가,1.0,,,,,,,
부산광역시,서구,동대신동3가,2.0,,,,,,,
부산광역시,서구,부민동1가,1.0,,,,,,,
부산광역시,서구,부민동3가,1.0,,,,,,,
부산광역시,서구,부용동2가,2.0,,,,,,,
부산광역시,서구,서대신동2가,1.0,,,,,,,
부산광역시,서구,서대신동3가,4.0,,,,,,,
부산광역시,서구,아미동2가,2.0,,,,,,,
부산광역시,서구,암남동,3.0,,,,,,,
부산광역시,서구,토성동2가,2.0,,,,,,,
서울특별시,강남구,개포2동,2.0,,,,,,,
서울특별시,강남구,개포동,15.0,,,,,,,
서울특별시,강남구,논현동,7.0,,,,,,,
서울특별시,강남구,대치동,16.0,,,,,,,
서울특별시,강남구,도곡동,5.0,,,,,,,
서울특별시,강남구,삼성동,10.0,,,,,,,
서울특별시,강남구,세곡동,3.0,,,,,,,
서울특별시,강남구,수서동,7.0,,,,,,,
서울특별시,강남구,신사동,3.0,,,,,,,
서울특별시,강남구,압구정동,3.0,,,,,,,
서울특별시,강남구,역삼동,6.0,,,,,,,
서울특별시,강남구,율현동,1.0,,,,,,,
서울특별시,강남구,일원동,10.0,,,,,,,
서울특별시,강남구,자곡동,4.0,,,,,,,
서울특별시,강남구,청담동,9.0,,,,,,,
서울특별시,강동구,강동강일동,4.0,,,,,,,
서울특별시,강동구,강동고덕1동,5.0,,,,,,,
서울특별시,강동구,강동고덕2동,4.0,,,,,,,
서울특별시,강동구,강동고덕동,1.0,,,,,,,
서울특별시,강동구,강동길동,11.0,,,,,,,
서울특별시,강동구,강동둔촌1동,3.0,,,,,,,
서울특별시,강동구,강동둔촌2동,6.0,,,,,,,
서울특별시,강동구,강동명일1동,3.0,,,,,,,
서울특별시,강동구,강동명일2동,6.0,,,,,,,
서울특별시,강동구,강동상일동,10.0,,,,,,,
서울특별시,강동구,강동성내1동,4.0,,,,,,,
서울특별시,강동구,강동성내2동,1.0,,,,,,,
서울특별시,강동구,강동성내3동,2.0,,,,,,,
서울특별시,강동구,강동성내동,2.0,,,,,,,
서울특별시,강동구,강동암사1동,5.0,,,,,,,
서울특별시,강동구,강동암사2동,5.0,,,,,,,
서울특별시,강동구,강동암사동,4.0,,,,,,,
서울특별시,강동구,강동천호1동,3.0,,,,,,,
서울특별시,강동구,강동천호2동,6.0,,,,,,,
서울특별시,강동구,강동천호3동,4.0,,,,,,,
서울특별시,강동구,강동천호동,1.0,,,,,,,
서울특별시,강북구,미아동,14.0,,,,,,,
서울특별시,강북구,번동,8.0,,,,,,,
서울특별시,강북구,수유동,14.0,,,,,,,
서울특별시,강북구,우이동,2.0,,,,,,,
서울특별시,강서구,가양동,4.0,,,,,,,
서울특별시,강서구,공항동,3.0,,,,,,,
서울특별시,강서구,내발산동,8.0,,,,,,,
서울특별시,강서구,등촌동,13.0,,,,,,,
서울특별시,강서구,마곡동,9.0,,,,,,,
서울특별시,강서구,방화동,12.0,,,,,,,
서울특별시,강서구,염창동,6.0,,,,,,,
서울특별시,강서구,화곡동,33.0,,,,,,,
서울특별시,관악구,남현동,2.0,,,,,,,
서울특별시,관악구,봉천동,30.0,,,,,,,
서울특별시,관악구,신림동,34.0,,,,,,,
서울특별시,광진구,광장동,10.0,,,,,,,
서울특별시,광진구,구의1동,3.0,,,,,,,
서울특별시,광진구,구의2동,6.0,,,,,,,
서울특별시,광진구,구의3동,6.0,,,,,,,
서울특별시,광진구,구의동,3.0,,,,,,,
서울특별시,광진구,군자동,7.0,,,,,,,
서울특별시,광진구,능동,5.0,,,,,,,
서울특별시,광진구,자양1동,5.0,,,,,,,
서울특별시,광진구,자양2동,8.0,,,,,,,
서울특별시,광진구,자양3동,7.0,,,,,,,
서울특별시,광진구,자양4동,1.0,,,,,,,
서울특별시,광진구,자양동,1.0,,,,,,,
서울특별시,광진구,중곡2동,2.0,,,,,,,
서울특별시,광진구,중곡3동,8.0,,,,,,,
서울특별시,광진구,중곡4동,2.0,,,,,,,
서울특별시,광진구,화양동,3.0,,,,,,,
서울특별시,구로구,가리봉동,2.0,,,,,,,
서울특별시,구로구,개봉동,9.0,,,,,,,
서울특별시,구로구,고척동,7.0,,,,,,,
서울특별시,구로구,구로동,16.0,,,,,,,
서울특별시,구로구,궁동,4.0,,,,,,,
서울특별시,구로구,신도림동,4.0,,,,,,,
서울특별시,구로구,오류동,12.0,,,,,,,
서울특별시,구로구,온수동,2.0,,,,,,,
서울특별시,구로구,천왕동,3.0,,,,,,,
서울특별시,구로구,항동,3.0,,,,,,,
서울특별시,도봉구,,2.0,,,,,,,
서울특별시,도봉구,공릉1동,2.0,,,,,,,
서울특별시,도봉구,공릉2동,7.0,,,,,,,
서울특별시,도봉구,공릉3동,3.0,,,,,,,
서울특별시,도봉구,공릉동,3.0,,,,,,,
서울특별시,도봉구,상계10동,5.0,,,,,,,
서울특별시,도봉구,상계1동,9.0,,,,,,,
서울특별시,도봉구,상계2동,3.0,,,,,,,
서울특별시,도봉구,상계3동,4.0,,,,,,,
서울특별시,도봉구,상계4동,3.0,,,,,,,
서울특별시,도봉구,상계5동,1.0,,,,,,,
서울특별시,도봉구,상계6.7동,1.0,,,,,,,
서울특별시,도봉구,상계6동,4.0,,,,,,,
서울특별시,도봉구,상계7동,1.0,,,,,,,
서울특별시,도봉구,상계8동,5.0,,,,,,,
서울특별시,도봉구,상계9동,4.0,,,,,,,
서울특별시,도봉구,월계1동,3.0,,,,,,,
서울특별시,도봉구,월계2동,3.0,,,,,,,
서울특별시,도봉구,월계3동,3.0,,,,,,,
서울특별시,도봉구,월계4동,1.0,,,,,,,
서울특별시,도봉구,월계동,5.0,,,,,,,
서울특별시,도봉구,중계1동,2.0,,,,,,,
서울특별시,도봉구,중계2동,2.0,,,,,,,
서울특별시,도봉구,중계3동,5.0,,,,,,,
서울특별시,도봉구,중계4동,4.0,,,,,,,
서울특별시,도봉구,중계동,3.0,,,,,,,
서울특별시,도봉구,중계본동,6.0,,,,,,,
서울특별시,도봉구,하계1동,5.0,,,,,,,
서울특별시,도봉구,하계2동,3.0,,,,,,,
서울특별시,도봉구,하계동,4.0,,,,,,,
서울특별시,도봉구,도봉1동,1.0,,,,,,,
서울특별시,도봉구,도봉동,6.0,,,,,,,
서울특별시,도봉구,방학동,13.0,,,,,,,
서울특별시,도봉구,쌍문동,20.0,,,,,,,
서울특별시,도봉구,창동,30.0,,,,,,,
서울특별시,동대문구,답십리동,13.0,,,,,,,
서울특별시,동대문구,신설동,1.0,,,,,,,
서울특별시,동대문구,용두동,3.0,,,,,,,
서울특별시,동대문구,이문동,9.0,,,,,,,
서울특별시,동대문구,장안동,19.0,,,,,,,
서울특별시,동대문구,전농동,10.0,,,,,,,
서울특별시,동대문구,제기동,8.0,,,,,,,
서울특별시,동대문구,청량리동,1.0,,,,,,,
서울특별시,동대문구,회기동,3.0,,,,,,,
서울특별시,동대문구,휘경동,7.0,,,,,,,
서울특별시,동작구,,2.0,,,,,,,
서울특별시,동작구,노량진1동,2.0,,,,,,,
서울특별시,동작구,노량진동,2.0,,,,,,,
서울특별시,동작구,대방동,8.0,,,,,,,
서울특별시,동작구,동작동,2.0,,,,,,,
서울특별시,동작구,본동,2.0,,,,,,,
서울특별시,동작구,사당1동,3.0,,,,,,,
서울특별시,동작구,사당3동,2.0,,,,,,,
서울특별시,동작구,사당5동,4.0,,,,,,,
서울특별시,동작구,사당동,5.0,,,,,,,
서울특별시,동작구,상도1동,4.0,,,,,,,
서울특별시,동작구,상도2동,1.0,,,,,,,
서울특별시,동작구,상도3동,3.0,,,,,,,
서울특별시,동작구,상도4동,6.0,,,,,,,
서울특별시,동작구,상도동,6.0,,,,,,,
서울특별시,동작구,신대방1동,4.0,,,,,,,
서울특별시,동작구,흑석1동,4.0,,,,,,,
서울특별시,동작구,흑석동,5.0,,,,,,,
서울특별시,마포구,공덕동,2.0,,,,,,,
서울특별시,마포구,노고산동,3.0,,,,,,,
서울특별시,마포구,대흥동,2.0,,,,,,,
서울특별시,마포구,도화동,5.0,,,,,,,
서울특별시,마포구,동교동,1.0,,,,,,,
서울특별시,마포구,마포동,1.0,,,,,,,
서울특별시,마포구,망원동,3.0,,,,,,,
서울특별시,마포구,상수동,1.0,,,,,,,
서울특별시,마포구,상암동,8.0,,,,,,,
서울특별시,마포구,서교동,2.0,,,,,,,
서울특별시,마포구,성산동,9.0,,,,,,,
서울특별시,마포구,신수동,2.0,,,,,,,
서울특별시,마포구,아현동,2.0,,,,,,,
서울특별시,마포구,연남동,2.0,,,,,,,
서울특별시,마포구,염리동,3.0,,,,,,,
서울특별시,마포구,중동,1.0,,,,,,,
서울특별시,마포구,창전동,3.0,,,,,,,
서울특별시,마포구,합정동,1.0,,,,,,,
서울특별시,마포구,현석동,1.0,,,,,,,
서울특별시,서대문구,남가좌동,5.0,,,,,,,
서울특별시,서대문구,대신동,3.0,,,,,,,
서울특별시,서대문구,대현동,2.0,,,,,,,
서울특별시,서대문구,미근동,1.0,,,,,,,
서울특별시,서대문구,북가좌동,3.0,,,,,,,
서울특별시,서대문구,북아현동,3.0,,,,,,,
서울특별시,서대문구,연희동,1.0,,,,,,,
서울특별시,서대문구,영천동,1.0,,,,,,,
서울특별시,서대문구,창천동,2.0,,,,,,,
서울특별시,서대문구,천연동,2.0,,,,,,,
서울특별시,서대문구,충정로2가,1.0,,,,,,,
서울특별시,서대문구,홍은동,4.0,,,,,,,
서울특별시,서대문구,홍제동,12.0,,,,,,,
서울특별시,서초구,내곡동,3.0,,,,,,,
서울특별시,서초구,반포2동,1.0,,,,,,,
서울특별시,서초구,반포동,11.0,,,,,,,
서울특별시,서초구,반포본동,2.0,,,,,,,
서울특별시,서초구,방배동,17.0,,,,,,,
서울특별시,서초구,방배본동,2.0,,,,,,,
서울특별시,서초구,서초동,16.0,,,,,,,
서울특별시,서초구,신원동,1.0,,,,,,,
서울특별시,서초구,양재동,8.0,,,,,,,
서울특별시,서초구,염곡동,1.0,,,,,,,
서울특별시,서초구,우면동,4.0,,,,,,,
서울특별시,서초구,잠원동,7.0,,,,,,,
서울특별시,성동구,금호동1가,3.0,,,,,,,
서울특별시,성동구,금호동2가,2.0,,,,,,,
서울특별시,성동구,금호동3가,1.0,,,,,,,
서울특별시,성동구,금호동4가,4.0,,,,,,,
서울특별시,성동구,마장동,6.0,,,,,,,
서울특별시,성동구,사근동,4.0,,,,,,,
서울특별시,성동구,상왕십리동,1.0,,,,,,,
서울특별시,성동구,성수동1가,4.0,,,,,,,
서울특별시,성동구,성수동2가,3.0,,,,,,,
서울특별시,성동구,송정동,2.0,,,,,,,
서울특별시,성동구,옥수동,5.0,,,,,,,
서울특별시,성동구,용답동,3.0,,,,,,,
서울특별시,성동구,응봉동,2.0,,,,,,,
서울특별시,성동구,하왕십리동,5.0,,,,,,,
서울특별시,성동구,행당동,4.0,,,,,,,
서울특별시,성동구,홍익동,2.0,,,,,,,
서울특별시,성북구,길음동,14.0,,,,,,,
서울특별시,성북구,돈암동,13.0,,,,,,,
서울특별시,성북구,동선동5가,1.0,,,,,,,
서울특별시,성북구,동소문동1가,2.0,,,,,,,
서울특별시,성북구,동소문동6가,2.0,,,,,,,
서울특별시,성북구,동소문동7가,2.0,,,,,,,
서울특별시,성북구,보문동,1.0,,,,,,,
서울특별시,성북구,보문동2가,1.0,,,,,,,
서울특별시,성북구,보문동3가,3.0,,,,,,,
서울특별시,성북구,보문동7가,1.0,,,,,,,
서울특별시,성북구,삼선동3가,2.0,,,,,,,
서울특별시,성북구,상월곡동,1.0,,,,,,,
서울특별시,성북구,석관동,5.0,,,,,,,
서울특별시,성북구,성북동,4.0,,,,,,,
서울특별시,성북구,성북동1가,1.0,,,,,,,
서울특별시,성북구,안암동2가,2.0,,,,,,,
서울특별시,성북구,안암동3가,1.0,,,,,,,
서울특별시,성북구,안암동5가,1.0,,,,,,,
서울특별시,성북구,장위동,11.0,,,,,,,
서울특별시,성북구,정릉동,16.0,,,,,,,
서울특별시,성북구,종암동,10.0,,,,,,,
서울특별시,성북구,하월곡동,8.0,,,,,,,
서울특별시,송파구,가락2동,5.0,,,,,,,
서울특별시,송파구,가락동,3.0,,,,,,,
서울특별시,송파구,가락본동,3.0,,,,,,,
서울특별시,송파구,거여1동,3.0,,,,,,,
서울특별시,송파구,거여2동,2.0,,,,,,,
서울특별시,송파구,마천1동,3.0,,,,,,,
서울특별시,송파구,마천2동,6.0,,,,,,,
서울특별시,송파구,문정1동,1.0,,,,,,,
서울특별시,송파구,문정2동,1.0,,,,,,,
서울특별시,송파구,방이1동,2.0,,,,,,,
서울특별시,송파구,방이2동,1.0,,,,,,,
서울특별시,송파구,삼전동,1.0,,,,,,,
서울특별시,송파구,석촌동,5.0,,,,,,,
서울특별시,송파구,송파1동,4.0,,,,,,,
서울특별시,송파구,송파2동,4.0,,,,,,,
서울특별시,송파구,오금동,5.0,,,,,,,
서울특별시,송파구,오륜동,3.0,,,,,,,
서울특별시,송파구,위례동,3.0,,,,,,,
서울특별시,송파구,잠실2동,4.0,,,,,,,
서울특별시,송파구,잠실3동,5.0,,,,,,,
서울특별시,송파구,잠실4동,4.0,,,,,,,
서울특별시,송파구,잠실6동,1.0,,,,,,,
서울특별시,송파구,잠실7동,2.0,,,,,,,
서울특별시,송파구,잠실본동,3.0,,,,,,,
서울특별시,송파구,장지동,7.0,,,,,,,
서울특별시,송파구,풍납1동,2.0,,,,,,,
서울특별시,송파구,풍납2동,7.0,,,,,,,
서울특별시,양천구,목1동,3.0,,,,,,,
서울특별시,양천구,목2동,4.0,,,,,,,
서울특별시,양천구,목3동,3.0,,,,,,,
서울특별시,양천구,목4동,2.0,,,,,,,
서울특별시,양천구,목5동,7.0,,,,,,,
서울특별시,양천구,목동,1.0,,,,,,,
서울특별시,양천구,신월1동,4.0,,,,,,,
서울특별시,양천구,신월2동,3.0,,,,,,,
서울특별시,양천구,신월3동,4.0,,,,,,,
서울특별시,양천구,신월4동,2.0,,,,,,,
서울특별시,양천구,신월5동,2.0,,,,,,,
서울특별시,양천구,신월6동,1.0,,,,,,,
서울특별시,양천구,신월7동,5.0,,,,,,,
서울특별시,양천구,신월동,2.0,,,,,,,
서울특별시,양천구,신정1동,2.0,,,,,,,
서울특별시,양천구,신정2동,4.0,,,,,,,
서울특별시,양천구,신정3동,7.0,,,,,,,
서울특별시,양천구,신정4동,8.0,,,,,,,
서울특별시,양천구,신정6동,1.0,,,,,,,
서울특별시,양천구,신정7동,3.0,,,,,,,
서울특별시,영등포구,당산동,2.0,,,,,,,
서울특별시,영등포구,당산동3가,3.0,,,,,,,
서울특별시,영등포구,당산동5가,2.0,,,,,,,
서울특별시,영등포구,대림2동,2.0,,,,,,,
서울특별시,영등포구,대림3동,5.0,,,,,,,
서울특별시,영등포구,대림동,6.0,,,,,,,
서울특별시,영등포구,도림동,1.0,,,,,,,
서울특별시,영등포구,문래동1가,2.0,,,,,,,
서울특별시,영등포구,문래동3가,1.0,,,,,,,
서울특별시,영등포구,문래동5가,1.0,,,,,,,
서울특별시,영등포구,문래동6가,1.0,,,,,,,
서울특별시,영등포구,신길1동,1.0,,,,,,,
서울특별시,영등포구,신길4동,1.0,,,,,,,
서울특별시,영등포구,신길5동,1.0,,,,,,,
서울특별시,영등포구,신길6동,1.0,,,,,,,
서울특별시,영등포구,신길7동,2.0,,,,,,,
서울특별시,영등포구,신길동,14.0,,,,,,,
서울특별시,영등포구,양평동1가,2.0,,,,,,,
서울특별시,영등포구,양평동3가,5.0,,,,,,,
서울특별시,영등포구,양평동4가,1.0,,,,,,,
서울특별시,영등포구,양평동5가,1.0,,,,,,,
서울특별시,영등포구,여의도동,6.0,,,,,,,
서울특별시,영등포구,영등포동,1.0,,,,,,,
서울특별시,영등포구,영등포동7가,2.0,,,,,,,
서울특별시,영등포구,영등포동8가,2.0,,,,,,,
서울특별시,용산구,도원동,1.0,,,,,,,
서울특별시,용산구,동빙고동,1.0,,,,,,,
서울특별시,용산구,문배동,1.0,,,,,,,
서울특별시,용산구,보광동,1.0,,,,,,,
서울특별시,용산구,산천동,1.0,,,,,,,
서울특별시,용산구,서빙고동,1.0,,,,,,,
서울특별시,용산구,신천동,2.0,,,,,,,
서울특별시,용산구,용산동2가,1.0,,,,,,,
서울특별시,용산구,원효로2가,1.0,,,,,,,
서울특별시,용산구,이천동,1.0,,,,,,,
서울특별시,용산구,이촌동,7.0,,,,,,,
서울특별시,용산구,이태원동,3.0,,,,,,,
서울특별시,용산구,청파동2가,1.0,,,,,,,
서울특별시,용산구,한강로2가,1.0,,,,,,,
서울특별시,용산구,한강로3가,1.0,,,,,,,
서울특별시,용산구,한남동,5.0,,,,,,,
서울특별시,용산구,효창동,1.0,,,,,,,
서울특별시,용산구,후암동,3.0,,,,,,,
서울특별시,은평구,갈현동,7.0,,,,,,,
서울특별시,은평구,구산동,7.0,,,,,,,
서울특별시,은평구,녹번동,8.0,,,,,,,
서울특별시,은평구,대조동,2.0,,,,,,,
서울특별시,은평구,불광동,12.0,,,,,,,
서울특별시,은평구,수색동,3.0,,,,,,,
서울특별시,은평구,신사동,9.0,,,,,,,
서울특별시,은평구,역촌동,3.0,,,,,,,
서울특별시,은평구,응암동,12.0,,,,,,,
서울특별시,은평구,증산동,2.0,,,,,,,
서울특별시,은평구,진관동,11.0,,,,,,,
서울특별시,종로구,가회동,1.0,,,,,,,
서울특별시,종로구,경운동운니동,1.0,,,,,,,
서울특별시,종로구,구기동,1.0,,,,,,,
서울특별시,종로구,궁정동,1.0,,,,,,,
서울특별시,종로구,누상동,1.0,,,,,,,
서울특별시,종로구,동숭동,1.0,,,,,,,
서울특별시,종로구,명륜1가,1.0,,,,,,,
서울특별시,종로구,무악동,1.0,,,,,,,
서울특별시,종로구,부암동,1.0,,,,,,,
서울특별시,종로구,사직동,1.0,,,,,,,
서울특별시,종로구,수송동,1.0,,,,,,,
서울특별시,종로구,숭인동,3.0,,,,,,,
서울특별시,종로구,신교동,1.0,,,,,,,
서울특별시,종로구,신영동,2.0,,,,,,,
서울특별시,종로구,연지동,1.0,,,,,,,
서울특별시,종로구,옥인동,1.0,,,,,,,
서울특별시,종로구,이화동,1.0,,,,,,,
서울특별시,종로구,종로6가,1.0,,,,,,,
서울특별시,종로구,창성동,1.0,,,,,,,
서울특별시,종로구,창신동,5.0,,,,,,,
서울특별시,종로구,청운동,2.0,,,,,,,
서울특별시,종로구,평창동,2.0,,,,,,,
서울특별시,종로구,필운동,2.0,,,,,,,
서울특별시,종로구,행촌동,1.0,,,,,,,
서울특별시,종로구,혜화동,3.0,,,,,,,
서울특별시,종로구,홍지동,2.0,,,,,,,
서울특별시,종로구,효제동,1.0,,,,,,,
서울특별시,중구,남산동2가,1.0,,,,,,,
서울특별시,중구,남창동,1.0,,,,,,,
서울특별시,중구,만리동1가,1.0,,,,,,,
서울특별시,중구,만리동2가,1.0,,,,,,,
서울특별시,중구,명동2가,1.0,,,,,,,
서울특별시,중구,서소문동,1.0,,,,,,,
서울특별시,중구,신당동,19.0,,,,,,,
서울특별시,중구,예장동,1.0,,,,,,,
서울특별시,중구,장충동2가,1.0,,,,,,,
서울특별시,중구,정동,1.0,,,,,,,
서울특별시,중구,중림동,1.0,,,,,,,
서울특별시,중구,필동2가,1.0,,,,,,,
서울특별시,중구,황학동,2.0,,,,,,,
서울특별시,중구,회현동1가,1.0,,,,,,,
서울특별시,중랑구,망우3동,2.0,,,,,,,
서울특별시,중랑구,망우동,1.0,,,,,,,
서울특별시,중랑구,망우본동,3.0,,,,,,,
서울특별시,중랑구,면목2동,4.0,,,,,,,
서울특별시,중랑구,면목3.8동,1.0,,,,,,,
서울특별시,중랑구,면목4동,4.0,,,,,,,
서울특별시,중랑구,면목7동,2.0,,,,,,,
서울특별시,중랑구,면목본동,3.0,,,,,,,
서울특별시,중랑구,묵1동,2.0,,,,,,,
서울특별시,중랑구,묵2동,3.0,,,,,,,
서울특별시,중랑구,상봉1동,3.0,,,,,,,
서울특별시,중랑구,상봉2동,1.0,,,,,,,
서울특별시,중랑구,신내1동,2.0,,,,,,,
서울특별시,중랑구,신내2동,5.0,,,,,,,
서울특별시,중랑구,중화1동,3.0,,,,,,,
서울특별시,중랑구,중화2동,3.0,,,,,,,
전라남도,신안군,도초면,2.0,,,,,,,
전라남도,신안군,비금면,2.0,,,,,,,
전라남도,신안군,신의면상태동,2.0,,,,,,,
전라남도,신안군,안좌면읍동,2.0,,,,,,,
전라남도,신안군,압해읍,6.0,,,,,,,
전라남도,신안군,임자면,2.0,,,,,,,
전라남도,신안군,자은면,2.0,,,,,,,
전라남도,신안군,장산면,2.0,,,,,,,
전라남도,신안군,증도면증동,2.0,,,,,,,
전라남도,신안군,지도읍,2.0,,,,,,,
전라남도,신안군,팔금면,2.0,,,,,,,
전라남도,신안군,하의면,2.0,,,,,,,
전라남도,신안군,흑산면,2.0,,,,,,,
전라북도,고창군,고수면,2.0,,,,,,,
전라북도,고창군,고창읍,3.0,,,,,,,
전라북도,고창군,공음면,2.0,,,,,,,
전라북도,고창군,공음면선동,2.0,,,,,,,
전라북도,고창군,대산면,4.0,,,,,,,
